"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DATASHEET-URL";"DESCRIPTION";"FRES";"IR";"IR-UL";"IR-VDE";"ISAT";"MF";"MOUNT";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PART-NUMBER";"PINS";"PITCH";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"RDC-MAX";"RDC-TYPE";"SPICEPREFIX";"TYPE";"VALUE";"WIRE";"WORKING-VOLTAGE-UL";"WORKING-VOLTAGE-VDE";
"2";"";"691213510002";"691213510002";"CN2, CN3";"WR-TBL Serie 2135 - 5.08 mm Horizontal Entry Modular w. Rising Cage Clamp";"";"";"";"";"";"14A";"14A";"";"";"";"";"";"";"";"";" 691213510002 ";" 2 ";"5.08mm";"";"";"";"";"";"";"";"Horizontal";"";"14 to 30 (AWG) 2.08 to 0.0509 (mmÂ²)";"300V (AC)";"250V (AC)";
"1";"";"JACK-PLUG1";"SPC4078";"CN1";"DC POWER JACK";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";"";"";
"1";"10k";"R-EU_R0603";"R0603";"R20";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";"";"";"";
"1";"1k";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";"";"";"";
"2";"1nF";"C-EUC0603K";"C0603K";"C1, C43";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"C";"";"";"";"";"";
"1";"200pF";"C-EUC0603K";"C0603K";"C41";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"C";"";"";"";"";"";
"13";"22uF";"C-EUC0805K";"C0805K";"C9, C10, C11, C12, C13, C14, C15, C33, C34, C35, C36, C37, C38";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"C";"";"";"";"";"";
"1";"2k";"R-EU_R0603";"R0603";"R22";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";"";"";"";
"1";"3.3uH";"WE-CHSA_1011_7843330330";"WE-CHSA_1011";"L1";"WE-CHSA SMD High Current Inductor";"";"https://www.we-online.com/catalog/datasheet/7843330330.pdf";"";"55MHz";"13.8A";"";"";"20.5A";"";"SMT";"";"";"";"";"";" 7843330330 ";"";"";"";"";"";"";"6.5mohm";"5.4mohm";"";"";"3.3uH";"";"";"";
"1";"330";"R-EU_R0603";"R0603";"R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";"";"";"";
"1";"470nF";"C-EUC0603K";"C0603K";"C44";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"C";"";"";"";"";"";
"2";"47k";"R-EU_R0603";"R0603";"R17, R21";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";"";"";"";
"1";"68nF";"C-EUC0603K";"C0603K";"C42";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"C";"";"";"";"";"";
"1";"GREEN";"LEDSML0603";"SML0603";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17";"";"";"";"";"";"";"";"";"";"";"";
"1";"LM3150MHX/NOPB";"LM3150MHX/NOPB";"SOP65P640X110-15N";"U1";"6V to 42V Synchronous Step-Down Controller with Adjustable Output Voltage 14-HTSSOP -40 to 125  Check prices";"In Stock";"";" 6V to 42V Synchronous Step-Down Controller with Adjustable Output Voltage 14-HTSSOP -40 to 125 ";"";"";"";"";"";"Texas Instruments";"";"LM3150MHX/NOPB";"";"";"";"HTSSOP-14 Texas Instruments";"";"";"";"";"None";"";"https://pricing.snapeda.com/search/part/LM3150MHX/NOPB/?ref=eda";"";"";"";"";"";"";"";"";
"1";"MFDECLOGO_L_10MM";"MFDECLOGO_L_10MM";"MFDEC_L_10MM";"LOGO2";"Midnight Fog - Digital Eye Candy LOGO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"NMOSFET";"MOSFET-NCHANNELFDD8780";"DPAK";"Q9, Q10";"Common NMOSFET Parts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-09984";"";"";"";"";"";"";"";"";"";
"1";"RSNURL_QR_8MM";"RSNURL_QR_8MM";"RSNURL_QR_8MM";"LOGO1";"RedScorp.Net URL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"TOOLINGHOLE";"TOOLINGHOLE";"TOOLING-HOLE";"HOLE1, HOLE2, HOLE3";"JLCPCB Tooling Hole";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
